idhous;sex;birthyr;nat_1_02;plingu02;p02r01;p02r04;cspfaj;cspmoj;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;wp00tbgp;wp00tbgs
92811;man;1946;Switzerland;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2189.18505859375;1.94286704063416
146981;woman;1957;Switzerland;german;Protestant or Reformed Church;a few times a year;intermediate professions;unqualified non-manual and manual workers;0;0;0;0;0;1;1;3;3;3;6;6;6;6;6;6;1100.29895019531;0.976497948169708
NA;man;1954;NA;NA;NA;NA;NA;NA;0;0;0;1;1;1;1;6;6;6;6;6;6;6;6;6;0;0
53711;man;1946;Switzerland;french;Roman Catholic;every two weeks;NA;NA;0;0;0;0;0;0;0;3;3;3;3;3;3;3;6;6;916.506103515625;0.813384652137756
86211;woman;1930;Switzerland;german;other Christian denomination;once a week;other self-employed;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1485.55688476562;1.31840825080872
98201;man;1935;Switzerland;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1584.89538574219;1.40656960010529
119261;man;1951;Switzerland;french;no denomination or religion;only for family ceremonies;other self-employed;NA;0;0;0;0;0;0;0;1;3;3;3;3;6;6;6;6;722.455932617188;0.641168236732483
145321;woman;1943;Switzerland;german;Roman Catholic;several times a week;NA;NA;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;1277.14685058594;1.13344764709473
36731;woman;1936;Switzerland;german;Roman Catholic;only for family ceremonies;unqualified non-manual and manual workers;NA;0;0;0;0;0;0;0;0;0;0;0;3;6;6;6;6;1168.94519042969;1.03742039203644
39901;man;1950;Switzerland;german;Roman Catholic;about once a month;other self-employed;NA;0;0;0;0;0;0;0;0;0;0;0;0;3;3;6;6;919.283813476562;0.815849840641022
30711;man;1937;Switzerland;german;Protestant or Reformed Church;about once a month;intermediate professions;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;822.780639648438;0.730204820632935
143421;man;1931;Switzerland;german;Roman Catholic;once a week;academic professions and senior management;NA;0;0;0;0;0;0;0;0;0;0;0;0;3;6;6;6;862.029052734375;0.765037178993225
6171;man;1955;Switzerland;french;Protestant or Reformed Church;only for family ceremonies;other self-employed;other self-employed;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;6;799.340637207031;0.709402143955231
NA;woman;1948;NA;NA;NA;NA;other self-employed;intermediate professions;0;0;0;0;0;0;0;2;3;3;3;3;3;3;6;6;872.05126953125;0.773931682109833
NA;woman;1955;NA;NA;NA;NA;academic professions and senior management;NA;0;0;0;0;0;0;1;1;1;1;3;6;6;6;6;6;768.968505859375;0.682447373867035
22221;man;1948;Itally;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;4724.1494140625;4.19260787963867
70441;woman;1950;Switzerland;german;Roman Catholic;every two weeks;other self-employed;other self-employed;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;799.767028808594;0.70978057384491
61871;man;1951;Switzerland;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;3;3;3;3;6;6;2173.30810546875;1.92877650260925
NA;woman;1953;NA;NA;NA;NA;qualified non-manual professions;NA;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;671.635375976562;0.596065819263458
33171;man;1955;Switzerland;german;Protestant or Reformed Church;religious celebrations and family events;academic professions and senior management;qualified non-manual professions;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;3;765.070739746094;0.67898815870285
5211;woman;1937;Switzerland;french;Protestant or Reformed Church;every two weeks;other self-employed;NA;0;0;0;0;3;6;6;6;6;6;6;6;6;6;6;6;897.166137695312;0.796220779418945
52911;man;1948;Switzerland;french;Protestant or Reformed Church;about once a month;qualified manual professions;unqualified non-manual and manual workers;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;789.672973632812;0.700822293758392
65061;woman;1946;Switzerland;german;Protestant or Reformed Church;a few times a year;other self-employed;NA;0;0;0;0;1;1;1;1;3;3;3;3;3;3;3;3;1015.48059082031;0.901222944259644
NA;woman;1949;NA;NA;NA;NA;other self-employed;NA;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;1903.51049804688;1.68933546543121
67461;woman;1955;Switzerland;german;Protestant or Reformed Church;religious celebrations and family events;other self-employed;other self-employed;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3;3;641.642883300781;0.569447934627533
100901;woman;1947;Switzerland;german;Protestant or Reformed Church;religious celebrations and family events;other self-employed;other self-employed;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;625.257568359375;0.554906249046326
136131;man;1945;Switzerland;german;Roman Catholic;once a week;other self-employed;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1545.73181152344;1.37181258201599
58951;man;1939;Switzerland;french;Roman Catholic;once a week;NA;NA;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;705.394226074219;0.626026213169098
NA;man;1955;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1526.71105957031;1.35493195056915
NA;man;1924;NA;NA;NA;NA;academic professions and senior management;NA;0;0;0;0;0;0;0;0;1;1;1;6;6;6;6;6;1385.06872558594;1.22922658920288
90831;woman;1952;Switzerland;german;no denomination or religion;never;qualified non-manual professions;NA;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;886.535888671875;0.786786615848541
100351;man;1953;Switzerland;german;no denomination or religion;only for family ceremonies;academic professions and senior management;unqualified non-manual and manual workers;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;686.449157714844;0.609212815761566
37761;woman;1947;Switzerland;german;other Christian denomination;a few times a year;academic professions and senior management;NA;0;0;0;0;0;0;1;1;1;1;1;1;3;3;3;6;798.002563476562;0.708214640617371
90241;woman;1957;Switzerland;german;Protestant or Reformed Church;a few times a year;academic professions and senior management;NA;0;0;0;0;0;0;1;1;6;6;6;6;6;6;6;6;794.828552246094;0.70539778470993
107171;woman;1951;Switzerland;german;Roman Catholic;once a week;other self-employed;NA;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;806.003051757812;0.715314984321594
NA;man;1936;NA;NA;NA;NA;unqualified non-manual and manual workers;NA;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;804.037231445312;0.713570296764374
119791;man;1947;Switzerland;NA;NA;NA;NA;NA;0;0;0;0;3;3;3;3;3;3;7;7;7;7;7;7;1989.45935058594;1.76561379432678
73841;man;1934;Switzerland;german;Roman Catholic;only for religious celebrations;academic professions and senior management;NA;0;0;0;1;1;1;1;1;1;1;6;6;6;6;6;6;850.717834472656;0.754998624324799
130321;woman;1942;Switzerland;german;Protestant or Reformed Church;about once a month;NA;unqualified non-manual and manual workers;0;0;0;0;0;0;0;0;3;6;6;6;6;6;6;6;1529.1689453125;1.35711324214935
62641;woman;1933;Switzerland;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;6;1756.12622070312;1.55853426456451
NA;man;1923;NA;NA;NA;NA;qualified manual professions;NA;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;6;801.509765625;0.711327254772186
5261;woman;1918;Switzerland;french;Protestant or Reformed Church;only for family ceremonies;academic professions and senior management;NA;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;1424.57592773438;1.26428866386414
138271;man;1951;Switzerland;german;Roman Catholic;religious celebrations and family events;intermediate professions;NA;0;0;0;0;0;0;1;1;1;1;6;6;6;6;6;6;1012.08367919922;0.898208260536194
7991;man;1955;Switzerland;french;Protestant or Reformed Church;only for family ceremonies;qualified manual professions;NA;0;0;0;0;0;1;1;6;6;6;6;6;6;7;7;7;0;0
42811;man;1945;Switzerland;german;Roman Catholic;a few times a year;other self-employed;other self-employed;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;938.493896484375;0.832898497581482
115901;woman;1956;Portugual;french;Roman Catholic;about once a month;other self-employed;NA;0;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;0;0
80431;woman;1950;Switzerland;german;no denomination or religion;religious celebrations and family events;other self-employed;NA;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;6;815.134765625;0.723419189453125
110221;woman;1945;Switzerland;german;Roman Catholic;only for family ceremonies;other self-employed;NA;0;0;0;0;0;6;6;6;6;6;6;6;6;6;6;6;1142.05261230469;1.01355361938477
140851;woman;1947;Switzerland;german;Roman Catholic;only for family ceremonies;qualified non-manual professions;NA;0;0;0;0;0;1;1;1;1;1;1;3;3;3;3;3;1296.08349609375;1.15025353431702
126811;man;1950;Switzerland;german;Protestant or Reformed Church;religious celebrations and family events;other self-employed;NA;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;705.320983886719;0.625961244106293
147691;woman;1954;Switzerland;german;Roman Catholic;a few times a year;other self-employed;NA;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;764.205078125;0.67821991443634
9511;woman;1926;Switzerland;french;Roman Catholic;only for family ceremonies;qualified manual professions;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1269.45849609375;1.12662434577942
73231;man;1954;Switzerland;german;Protestant or Reformed Church;about once a month;liberal professions;NA;0;0;0;0;0;0;0;0;0;1;1;1;1;3;3;6;796.852905273438;0.707194328308105
86091;woman;1946;Switzerland;german;Roman Catholic;once a week;qualified manual professions;NA;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;955.764770507812;0.848226130008698
95931;woman;1957;Switzerland;italian;Roman Catholic;about once a month;NA;NA;0;0;0;0;0;0;0;0;1;1;1;3;3;3;3;7;700.744689941406;0.621899843215942
32401;man;1919;Switzerland;german;NA;NA;NA;intermediate professions;0;0;0;0;0;0;0;0;0;0;0;0;3;6;6;6;1126.39880371094;0.999661087989807
67141;man;1955;Switzerland;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;1;1;1;1;1;1;6;6;6;1755.29724121094;1.55779850482941
106391;woman;1928;Switzerland;german;no denomination or religion;a few times a year;NA;NA;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;1284.85363769531;1.1402872800827
NA;man;1955;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;1;1;1;6;6;6;6;1840.51245117188;1.63342571258545
90101;woman;1935;Switzerland;german;Roman Catholic;once a week;qualified manual professions;NA;0;0;0;0;0;0;0;0;0;0;0;3;3;6;6;6;1219.34948730469;1.0821533203125
53191;woman;1955;Switzerland;french;Protestant or Reformed Church;about once a month;other self-employed;NA;0;0;0;0;0;1;1;1;1;3;3;6;6;6;6;6;681.72509765625;0.60502028465271
103101;man;1948;Switzerland;german;Protestant or Reformed Church;about once a month;top management;NA;0;0;0;0;0;0;0;0;0;1;3;3;3;6;6;6;724.184875488281;0.642702639102936
147271;woman;1924;Switzerland;NA;NA;NA;NA;NA;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;6;2328.60498046875;2.06660008430481
49861;man;1957;Portugual;french;Roman Catholic;never;unqualified non-manual and manual workers;unqualified non-manual and manual workers;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2132.06274414062;1.89217185974121
NA;man;1943;NA;NA;NA;NA;intermediate professions;NA;0;0;0;0;0;0;0;0;0;0;0;3;3;3;7;7;910.229431152344;0.807814240455627
81721;woman;1943;Switzerland;german;Protestant or Reformed Church;only for family ceremonies;academic professions and senior management;NA;0;0;0;0;0;6;6;6;6;6;6;6;6;6;6;6;1264.4208984375;1.12215352058411
32751;woman;1944;Switzerland;german;no denomination or religion;only for family ceremonies;academic professions and senior management;NA;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;1739.37182617188;1.54366493225098
50081;man;1924;Switzerland;NA;NA;NA;other self-employed;other self-employed;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;1417.23376464844;1.257772564888
109371;woman;1954;Switzerland;german;Protestant or Reformed Church;religious celebrations and family events;intermediate professions;NA;0;0;0;0;0;0;1;1;1;1;1;1;3;6;6;6;1060.71142578125;0.941364586353302
129141;man;1948;Switzerland;german;Protestant or Reformed Church;once a week;intermediate professions;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;748.989440917969;0.664716303348541
129821;man;1947;Switzerland;german;Roman Catholic;a few times a year;liberal professions;NA;0;0;0;0;0;0;0;0;3;3;3;3;6;6;6;6;753.214538574219;0.668465971946716
24971;woman;1956;Switzerland;german;Protestant or Reformed Church;only for religious celebrations;intermediate professions;NA;0;0;0;0;0;0;0;0;0;3;3;6;6;6;6;6;694.989196777344;0.616791903972626
86581;woman;1951;Switzerland;german;Protestant or Reformed Church;about once a month;academic professions and senior management;qualified non-manual professions;0;0;0;0;0;0;3;3;3;3;3;6;6;6;6;6;698.082641601562;0.61953729391098
145061;man;1948;Switzerland;german;Roman Catholic;about once a month;other self-employed;other self-employed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;755.508483886719;0.670501828193665
73051;man;1940;Switzerland;german;Protestant or Reformed Church;religious celebrations and family events;intermediate professions;NA;0;0;0;0;0;0;0;1;1;3;6;6;6;6;6;6;1053.70141601562;0.935143351554871
131621;man;1940;Switzerland;german;no denomination or religion;only for family ceremonies;academic professions and senior management;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;936.094055175781;0.830768644809723
106841;woman;1932;Switzerland;french;no denomination or religion;never;academic professions and senior management;NA;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;1400.31164550781;1.2427544593811
47041;man;1953;Itally;italian;Christian Catholic;once a week;unqualified non-manual and manual workers;NA;0;0;0;0;1;1;1;3;3;6;6;6;6;6;6;6;2648.30126953125;2.35032534599304
111111;woman;1946;Switzerland;german;Protestant or Reformed Church;a few times a year;other self-employed;NA;0;0;0;0;0;0;0;0;3;3;6;6;6;6;6;6;742.306091308594;0.658784925937653
84911;woman;1939;Germany;german;Protestant or Reformed Church;every two weeks;other self-employed;NA;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;3302.90405273438;2.93127512931824
140441;woman;1952;Switzerland;german;Roman Catholic;only for family ceremonies;qualified manual professions;qualified manual professions;0;0;0;0;0;1;1;1;1;3;3;3;3;3;3;3;1096.67443847656;0.973281264305115
142791;woman;1957;Switzerland;german;Roman Catholic;about once a month;other self-employed;NA;0;0;1;1;1;1;1;1;1;3;3;3;3;6;6;6;670.146606445312;0.594744503498077
62471;man;1951;Switzerland;german;Protestant or Reformed Church;a few times a year;NA;unqualified non-manual and manual workers;0;0;0;0;0;1;1;1;1;6;6;6;6;6;6;6;878.3056640625;0.779482364654541
54091;man;1939;Switzerland;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;2263.18090820312;2.00853729248047
72601;woman;1939;Switzerland;german;Protestant or Reformed Church;only for religious celebrations;other self-employed;NA;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;1088.763671875;0.966260552406311
105951;man;1946;Switzerland;german;Protestant or Reformed Church;a few times a year;other self-employed;NA;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;810.596557617188;0.719391644001007
95851;man;1940;Switzerland;italian;Roman Catholic;once a week;NA;other self-employed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1414.92395019531;1.25572264194489
64871;man;1936;Switzerland;german;Roman Catholic;a few times a year;other self-employed;NA;0;0;0;0;0;0;0;0;0;0;0;3;6;6;6;6;748.845520019531;0.664588570594788
88971;woman;1930;Switzerland;german;Protestant or Reformed Church;a few times a year;other self-employed;other self-employed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1517.77136230469;1.34699809551239
16581;man;1942;Switzerland;german;Protestant or Reformed Church;only for family ceremonies;unqualified non-manual and manual workers;NA;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;951.638244628906;0.844563901424408
44171;woman;1934;Switzerland;italian;Roman Catholic;religious celebrations and family events;unqualified non-manual and manual workers;unqualified non-manual and manual workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1546.408203125;1.37241291999817
42181;man;1941;Switzerland;german;Roman Catholic;a few times a year;qualified manual professions;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1363.47631835938;1.21006369590759
50131;man;1955;Switzerland;french;NA;NA;NA;NA;0;0;0;0;0;1;1;1;1;1;6;6;6;6;6;6;1516.85205078125;1.3461822271347
146141;man;1955;Switzerland;german;Protestant or Reformed Church;only for family ceremonies;intermediate professions;NA;0;0;0;0;0;0;0;0;2;2;2;7;7;7;7;7;606.431213378906;0.538198113441467
90811;man;1947;Switzerland;NA;NA;NA;unqualified non-manual and manual workers;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;728.420471191406;0.646461665630341
60401;man;1950;Switzerland;french;no denomination or religion;a few times a year;academic professions and senior management;NA;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;713.935485839844;0.633606493473053
100761;man;1954;Switzerland;german;Roman Catholic;a few times a year;other self-employed;other self-employed;0;0;0;0;0;0;0;1;3;3;6;6;6;6;6;6;871.995910644531;0.773882567882538
24641;man;1949;Switzerland;german;Roman Catholic;about once a month;intermediate professions;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;812.339050292969;0.720938086509705
70031;woman;1949;Switzerland;german;no denomination or religion;only for family ceremonies;qualified manual professions;NA;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1067.75817871094;0.947618544101715
45581;man;1953;Itally;italian;Roman Catholic;only for family ceremonies;intermediate professions;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;763.408386230469;0.677512884140015
